backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
4,soaps made with love care creativity and you in mind directly from south texas,DIY,the United States,Lisa Alaniz,150.0,"Edinburg, TX",Soaps in Texas,41.0,soaps in texas,False,False,failed,https://www.kickstarter.com/projects/texassoaps/soaps-in-texas?ref=discovery_category_newest,41.0,0,30,30
35,pens made from whiskey barrels jack daniels makers mark wild turkey and jim beam,Woodworking,the United States,Brad McKee,900.0,"Columbia, SC",Whiskey Pens,2205.0,whiskey pens,True,False,successful,https://www.kickstarter.com/projects/2022066517/whiskey-pens?ref=discovery_category_newest,2205.0,4,30,30
310,finally we have a building but we need your help to kick start it and get going we are calling everyone who believes in us,Spaces,the United States,Sherrod & Rashon,8500.0,"Jacksonville, FL",The Posh Factory,8861.0,the posh factory,True,False,successful,https://www.kickstarter.com/projects/988974145/the-posh-factory?ref=discovery_category_newest,8861.0,8,45,45
1,everything home made in one store from jewelry to small furniture to clothing to soaps bath bombs and candles to delicious treats,DIY,the United States,Jessica Carl,50000.0,"Detroit, MI",Home Made,100.0,home made,False,False,failed,https://www.kickstarter.com/projects/1794353539/home-made?ref=discovery_category_newest,100.0,4,30,30
36,growing my natural ecofriendly and fun bath company,Candles,the United States,Victoria Adella,800.0,"Tampa, FL",Goofy Goat Soaps LLC,1026.0,goofy goat soaps llc,True,True,successful,https://www.kickstarter.com/projects/adella/goofy-goat-soaps-llc?ref=discovery_category_newest,1026.0,6,25,25
22,step out of everyday life and into the shire  have a chance to spend the night in a hobbit hole  make fantasy a reality,Woodworking,the United States,Roy Esquivel,12000.0,"Salem, OR",Building a Hobbit Hole Bed and Breakfast,1495.0,building a hobbit hole,False,False,failed,https://www.kickstarter.com/projects/544674557/building-a-hobbit-hole?ref=discovery_category_newest,1495.0,74,60,60
10,protect your deliveries beautifully furnituregrade security boxes to protect your deliveries from wouldbe doorstep thieves,Woodworking,the United States,Mike Brennan,24000.0,"Minneapolis, MN",Package of Mind Security Boxes,2591.0,package of mind security boxes,False,False,failed,https://www.kickstarter.com/projects/packageofmind/package-of-mind-security-boxes?ref=discovery_category_newest,2591.0,21,60,60
187,a new team of superheroes from all over the world are forced to work together and run their own country,Comic Books,the United States,Lakel Pruitt,4000.0,"Sacramento, CA",The Leaders of the Free World,4515.0,the leaders of the free world,True,False,successful,https://www.kickstarter.com/projects/lotfw/the-leaders-of-the-free-world?ref=discovery_category_newest,4515.0,14,30,30
5,"this year is my first year recuperating from gastric surgeryr
i want to mark my progress by running a 5k r
you pick my costume",Events,the United States,Greg,200.0,"Beacon, NY",Superhero 5 Mile Run,48.0,superhero 5 mile run,False,False,failed,https://www.kickstarter.com/projects/puckfinn/superhero-5-mile-run?ref=discovery_category_newest,48.0,12,30,30
1,urban farming educator by day  rowdy chess festival come night,DIY,the United States,FIDEX,11900.0,"Austin, TX",FIDEX 4:20 Royal Chess Tour,1.0,fidex 4 20 royal chess tour,False,False,failed,https://www.kickstarter.com/projects/fidex/fidex-4-20-royal-chess-tour?ref=discovery_category_newest,1.0,27,42,42
