backers_count,blurb,category,country_displayable_name,creator,goal,location,name,pledged,slug,spotlight,staff_pick,state,urls,usd_pledged,preview_time,fundraising_time,state_change
3,i am starting off very small with a podcast i have had in mind speaking about lifestyle mentorship books and book reviews,Webseries,the United States,Jose Rodriguez,2000.0,"Chelsea, MA",Starting an inspirational podcast,100.0,starting an inspirational podcast,False,False,failed,https://www.kickstarter.com/projects/465216481/starting-an-inspirational-podcast?ref=discovery_category_newest,100.0,1,30,30
0,a drama/mystery series about surviving high school fitting in and finding out who committed murder,Television,the United States,The TA Network,70000.0,"Grand Rapids, MI",Shadow Creek,0.0,shadow creek,False,False,failed,https://www.kickstarter.com/projects/thetanetwork/shadow-creek?ref=discovery_category_newest,0.0,0,30,30
0,a descent into madness for a woman working in a hotel a revelation for the viewer that it takes more than a sign to not be disturbed,Horror,the United States,Andrew Seedarnee (deleted),3000.0,"Punta Gorda, FL",The Housekeeper,0.0,the housekeeper,False,False,failed,https://www.kickstarter.com/projects/284522457/the-housekeeper?ref=discovery_category_newest,0.0,5,30,30
480,a video series critiquing race and representation in contemporary games and game culture,Webseries,the United States,Samantha Blackmon,4500.0,"Lafayette, IN",Invisibility Blues: Exploring Race in Video Games,10452.11,invisibility blues exploring race in video games,True,True,successful,https://www.kickstarter.com/projects/113093954/invisibility-blues-exploring-race-in-video-games?ref=discovery_category_newest,10452.11,3,30,30
19,a horror short film that combines curses and supernatural forces together creating something we have never seen,Horror,the United States,Darren Kwan,5000.0,"Los Angeles, CA",Consume,1136.0,consume,False,False,failed,https://www.kickstarter.com/projects/2047548013/consume?ref=discovery_category_newest,1136.0,27,30,30
450,from the start of queer comics in the underground scene to alison bechdel  mainstream acceptance as told in a documentary film,Documentary,the United States,Vivian Kleiman & Justin Hall,38000.0,"Berkeley, CA",NO STRAIGHT LINES: Four Decades of Queer Comics,41529.0,no straight lines four decades of queer comics,True,True,successful,https://www.kickstarter.com/projects/1077551457/no-straight-lines-four-decades-of-queer-comics?ref=discovery_category_newest,41529.0,85,30,30
54,a film festival in southwest wisconsin dedicated to the union of independent cinema community and landscape,Festivals,the United States,Eve Studnicka,2500.0,"Mineral Point, WI",Driftless Film Festival 2014,3341.0,driftless film festival 2014,True,True,successful,https://www.kickstarter.com/projects/302726881/driftless-film-festival-2014?ref=discovery_category_newest,3341.0,1,30,30
13,16mm  super 8mm film about surfing and film photography it will take you under the waves and into the darkroom,Experimental,the United States,Mike Caputo,4000.0,"Hilo, HI",Gone by the Board: 16mm and Super 8 Surf Film,1247.0,gone by the board 16mm and super 8 surf film,False,False,failed,https://www.kickstarter.com/projects/1469851420/gone-by-the-board-16mm-and-super-8-surf-film?ref=discovery_category_newest,1247.0,3,30,30
0,promote democracy and freedom of speech in iran  we dont need war we need educations,Television,the United States,Mardom TV,5000.0,"Washington, DC",Mardom TV ( People TV ),0.0,mardom tv people tv,False,False,failed,https://www.kickstarter.com/projects/1123916789/mardom-tv-people-tv?ref=discovery_category_newest,0.0,3,30,30
2107,the 5th and final film in the epic mythica series the largest indie fantasy project ever dont miss this unforgettable finale,Fantasy,the United States,Arrowstorm Entertainment,85000.0,"Provo, UT",Mythica 5: The Godslayer,131087.67,mythica 5 the godslayer,True,True,successful,https://www.kickstarter.com/projects/arrowstorm/mythica-5-the-godslayer?ref=discovery_category_newest,131087.67,3,31,31
27,nick and nicky is a modern day screwball comedy and murder mystery based on the classic hollywood films of the 1930s,Comedy,the United States,patrick askin,50000.0,"New York, NY",Nick and Nicky the Movie,21510.0,nick and nicky the movie,False,False,failed,https://www.kickstarter.com/projects/patrickaskin/nick-and-nicky-the-movie?ref=discovery_category_newest,21510.0,244,40,40
295,a family comedy set in 1996 about a boy who cant pronounce his name due to a lisp he needs a new one the choice michael jordan,Comedy,the United States,Spenser Fritz & Amanda Dillingham,16000.0,"Nashville, TN",Cecil: A Family Friendly  Feature Film,17111.0,cecil a family friendly feature film,True,False,successful,https://www.kickstarter.com/projects/305841220/cecil-a-family-friendly-feature-film?ref=discovery_category_newest,17111.0,13,30,30
33,my brother jack is a feature length independent drama by writer/director stephen dest blindcannes film festival 08,Narrative Film,the United States,Stephen Dest,8000.0,"New Haven, CT",MY BROTHER JACK (POST PRODUCTION),8158.0,my brother jack post production,True,True,successful,https://www.kickstarter.com/projects/1919926281/my-brother-jack-post-production?ref=discovery_category_newest,8158.0,123,30,30
